Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6956,The Radicalism of the American Revolution,Gordon S. Wood,"Wood, Gordon S.",,"=""0679736883""","=""9780679736882""",0,4.08,Vintage,Paperback,447,1993,1992,,2019/08/06,currently-reading,currently-reading (#2),currently-reading,,,,1,0
319006,At Home in the Universe: The Search for the Laws of Self-Organization and Complexity,Stuart A. Kauffman,"Kauffman, Stuart A.",,"=""0195111303""","=""9780195111309""",0,4.02,Oxford University Press,Paperback,336,1996,1995,,2023/11/07,to-read,to-read (#310),to-read,,,,0,0
40404857,Introduction to the Theory of Complex Systems,Stefan Thurner,"Thurner, Stefan","Rudolf Hanel, Peter Klimek","=""019882193X""","=""9780198821939""",0,4.39,Oxford University Press,Hardcover,448,2018,,,2023/11/07,to-read,to-read (#309),to-read,,,,0,0
137246159,Visualizing Signal Processing with Complex Values: A Modern Primer,Peter S. Wyckoff,"Wyckoff, Peter S.",,"=""""","=""9798390858295""",0,0.0,Independently published,Paperback,308,2023,,,2023/11/07,to-read,to-read (#308),to-read,,,,0,0
85009,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,"Gamma, Erich","Grady Booch, Richard Helm, Ralph Johnson, John Vlissides","=""0201633612""","=""9780201633610""",0,4.20,Addison-Wesley Professional,Hardcover,416,1994,1994,2021/12/18,2021/12/18,to-read,to-read (#307),to-read,,,,2,0
33598223,Rise and Kill First: The Secret History of Israel's Targeted Assassinations,Ronen Bergman,"Bergman, Ronen",,"=""1400069718""","=""9781400069712""",0,4.40,Random House,Hardcover,784,2018,2018,,2023/11/07,currently-reading,currently-reading (#1),currently-reading,,,,1,0
22571757,It's What I Do: A Photographer's Life of Love and War,Lynsey Addario,"Addario, Lynsey",,"=""159420537X""","=""9781594205378""",0,4.34,Penguin Press,Hardcover,368,2015,2015,,2023/10/05,to-read,to-read (#306),to-read,,,,0,0
20877339,The Dunwich Horror: Seven Stories,H.P. Lovecraft,"Lovecraft, H.P.",Len Goldberg,"=""""","=""""",0,3.81,Lancer,Mass Market Paperback,,1963,1929,2020/07/23,2020/07/22,,,read,,,,1,0
38712616,Capitalism in America: An Economic History of the United States,Alan Greenspan,"Greenspan, Alan",Adrian Wooldridge,"=""0735222452""","=""""",0,4.07,Penguin Books,Kindle Edition,496,2018,2018,,2023/10/01,to-read,to-read (#305),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",5,4.29,Basic Books,Paperback,756,1999,1979,,2016/02/02,to-read,to-read (#52),to-read,,,,0,0
50168387,Ages of American Capitalism: A History of the United States,Jonathan I. Levy,"Levy, Jonathan I.",,"=""0812995015""","=""9780812995015""",0,4.31,Random House,Hardcover,944,2021,2021,,2023/10/01,to-read,to-read (#304),to-read,,,,0,0
26634594,"The Rise and Fall of American Growth: The U.S. Standard of Living since the Civil War (The Princeton Economic History of the Western World, 60)",Robert J. Gordon,"Gordon, Robert J.",,"=""0691147728""","=""9780691147727""",0,4.20,Princeton University Press,Hardcover,784,2016,2016,,2023/10/01,to-read,to-read (#303),to-read,,,,0,0
22477,The Ideological Origins of the American Revolution,Bernard Bailyn,"Bailyn, Bernard",,"=""0674443020""","=""9780674443020""",0,4.05,Belknap Press of Harvard University Press,Paperback,416,1992,1967,,2023/10/01,to-read,to-read (#302),to-read,,,,0,0
196717,American Creation: Triumphs and Tragedies at the Founding of the Republic,Joseph J. Ellis,"Ellis, Joseph J.",,"=""030726369X""","=""9780307263698""",0,3.96,Alfred A. Knopf/Random House (NY/Toronto),Hardcover,283,2007,2007,,2023/10/01,to-read,to-read (#301),to-read,,,,0,0
7493,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,"Ellis, Joseph J.",,"=""0375705244""","=""9780375705243""",0,3.95,Vintage Books,Unknown Binding,288,2000,2000,,2023/10/01,to-read,to-read (#300),to-read,,,,0,0
6618,The Easy Way to Stop Smoking: Join the Millions Who Have Become Non-Smokers Using Allen Carr's Easyway Method,Allen Carr,"Carr, Allen",,"=""1402718616""","=""9781402718618""",0,4.27,Union Square & Co.,Hardcover,224,2004,1985,2023/09/25,2023/09/25,,,read,,,,1,0
422567,"Sharpe's Revenge (Sharpe, #19)",Bernard Cornwell,"Cornwell, Bernard",,"=""0140294384""","=""9780140294385""",0,4.21,Penguin,Paperback,348,2001,1989,,2023/08/14,,,read,,,,1,0
564536,"Sharpe's Siege (Sharpe, #18)",Bernard Cornwell,"Cornwell, Bernard",,"=""0140294376""","=""9780140294378""",0,4.24,Penguin,Paperback,319,2001,1987,,2023/08/14,,,read,,,,1,0
564546,"Sharpe's Honor (Sharpe, #16)",Bernard Cornwell,"Cornwell, Bernard",,"=""014029435X""","=""9780140294354""",0,4.22,Penguin,Paperback,320,2001,1985,,2023/08/14,,,read,,,,1,0
362136,"Sharpe's Regiment (Sharpe, #17)",Bernard Cornwell,"Cornwell, Bernard",,"=""0140294368""","=""9780140294361""",0,4.27,Penguin,Paperback,301,2001,1986,,2023/08/14,,,read,,,,1,0
29395,"Sharpe's Fury (Sharpe, #11)",Bernard Cornwell,"Cornwell, Bernard",,"=""0060530480""","=""9780060530488""",0,4.13,Harper,Hardcover,352,2006,2005,,2023/08/14,,,read,,,,1,0
266944,"Sharpe's Escape (Sharpe, #10)",Bernard Cornwell,"Cornwell, Bernard",,"=""0060561556""","=""9780060561550""",0,4.17,HarperCollins,Paperback,368,2013,2004,,2023/08/14,,,read,,,,1,0
564577,"Sharpe's Battle (Sharpe, #12)",Bernard Cornwell,"Cornwell, Bernard",,"=""0060932287""","=""9780060932282""",0,4.19,HarperCollins,Paperback,368,2013,1995,,2023/08/14,,,read,,,,1,0
